,date,country,activity,fatal_(y/n),month,australia
465,28-dec-2014,greece,other_activities,no,december,
466,28-dec-2014,south_africa,swimming,no,december,
467,28-dec-2014,usa,surfing,no,december,
468,28-dec-2014,australia,fishing,no,december,australia
469,reported_23-dec-2014,japan,swimming,no,december,
470,15-dec-2014,australia,fishing,yes,december,australia
471,reported_03-dec-2014,spain,fishing,no,december,
472,29-nov-2014,australia,surfing,no,november,australia
473,20-nov-2014,mauritius,fishing,yes,november,
474,19-nov-2014,australia,fishing,no,november,australia
475,reported_17-nov-2014,usa,other_activities,no,november,
476,16-nov-2014,usa,surfing,no,november,
477,13-nov-2014,usa,swimming,no,november,
478,10-nov-2014,australia,surfing,no,november,australia
479,08-nov-2014,usa,surfing,no,november,
480,31-oct-2014,usa,surfing,no,october,
481,29-oct-2014,australia,surfing,no,october,australia
482,22-oct-2014,usa,other_activities,no,october,
483,20-oct-2014,usa,other_activities,no,october,
484,19-oct-2014,usa,other_activities,no,october,
485,18-oct-2014,usa,surfing,no,october,
486,17-oct-2014,australia,surfing,no,october,australia
487,14-oct-2014,usa,other_activities,no,october,
488,12-oct-2014,usa,surfing,no,october,
489,11-oct-2014,australia,other_activities,no,october,australia
490,05-oct-2014,usa,surfing,no,october,
491,07-oct-2014,usa,fishing,no,october,
492,05-oct-2014,usa,surfing,no,october,
493,03-oct-2014,usa,other_activities,no,october,
494,03-oct-2014,usa,other_activities,no,october,
495,02-oct-2014,usa,surfing,no,october,
496,02-oct-2014,australia,surfing,no,october,australia
497,21-sep-2014,usa,surfing,no,september,
498,reported_12-sep-2014,french_polynesia,fishing,no,september,
499,13-sep-2014,usa,surfing,no,september,
500,09-sep-2014,australia,swimming,yes,september,australia
501,06-sep-2014,usa,fishing,no,september,
502,03-sep-2014,usa,other_activities,no,september,
503,02-sep-2014,usa,fishing,no,september,
504,sep-2014,spain,other_activities,no,september,
505,31-aug-2014,usa,surfing,no,august,
506,29-aug-2014,usa,surfing,no,august,
507,29-aug-2014,usa,other_activities,no,august,
508,28-aug-2014,usa,fishing,no,august,
509,27-aug-2014,spain,swimming,no,august,
510,27-aug-2014,usa,surfing,no,august,
511,27-aug-2014,usa,other_activities,no,august,
512,reported_25-aug-2014,usa,fishing,no,august,
513,24-aug-2014,usa,other_activities,no,august,
514,16-aug-2014,australia,fishing,no,august,australia
515,12-aug-2014,usa,other_activities,no,august,
516,10-aug-2014,usa,other_activities,no,august,
